date,title,sentiment
2025-07-23,"Infosys Q1 net profit rises 8.7% to ₹6,921 crore - The Hindu",0.0
2025-07-23,"Infosys Q1 results: IT giant posts net profit of Rs 6,921 crore, up 9% YoY; revenue from operations at Rs - Times of India",0.0
2025-07-22,Infosys Q1 preview: 5 key factors to watch for - Moneycontrol,0.0
2025-07-23,Infosys Q1 Results: Lower end of FY26 revenue growth guidance raised; USD topline beats - CNBC TV18,0.0
2025-07-23,"Infosys Q1 results preview: PAT, revenue may rise in single digits YoY; should you buy the stock ahead of Q1 earnings? - Mint",-0.07142857142857142
2025-07-23,"Infosys Q1 Results: Profit rises 9% YoY to Rs 6,921 crore, revenue up 8% - The Economic Times",0.2
2025-07-31,"Infosys to hire 20,000 freshers as TCS cuts 12,000 jobs in AI shift: Full story in 5 points - India Today",0.35
2025-07-25,What analysts say about Infosys Limited Depositary Receipt stock - Free Stock Market Beginners Guide - PrintWeekIndia,0.1642857142857143
2025-07-23,"Infosys Q1 results: Net profit rises 9% annually, EBIT advances 6%; company raises revenue growth guidance to 1%-3% - Upstox",0.0
2025-07-30,"Infosys jobs: IT major to hire 20,000 freshers this year. Here's what CEO Salil Parekh says - Mint",0.0625
2025-07-24,"Infosys stock: IT stock slips 1.3% after Q1 results, Rs 8,661 crore in market value wiped off - Times of India",0.0
2025-07-23,"Infosys Q1 net profit up 8.7% on-year to Rs 6,921 crore, beats estimate; revenue guidance raised - Moneycontrol",0.0
2025-07-28,"Infosys, Wipro, other IT stocks fall up to 3% as TCS job cuts deepen concerns over sector slowdown - The Economic Times",0.037500000000000006
2025-07-23,"Infosys deploying over 300 Agentic AI solutions, which deliver 5-15% productivity gains for clients: CEO... - Moneycontrol",0.0
2025-07-23,"Infosys Q1 Results 2025 Highlights: Net profit climbs 9% to ₹6,921 crore, revenue grows 7.5% - Mint",0.0
2025-08-02,Infosys allays layoff fears; Freshworks cuts losses - The Economic Times,0.2
2025-07-23,"Infosys ADR shares jump over 3% on NYSE after IT major's net profit rises 9% YoY to ₹6,921 crore. Details here - Mint",0.03125
2025-07-23,"Infosys Q1 Results Live Updates: Profit rises 9% YoY to Rs 6,921 crore; company eyes 1-3% revenue growth ... - The Economic Times",0.16818181818181818
2025-07-31,"Infosys doubles down on hiring as TCS cuts staff; CEO Salil Parekh sees rising demand for data, cloud and... - Moneycontrol",-0.15555555555555556
2025-07-23,"Infosys Q1 results: From PAT, deal TCV to guidance— 5 key highlights from IT major's June quarter scorecard - Mint",0.03125
2025-07-23,Infosys techie now Newcastle technical director - The New Indian Express,0.06818181818181818
2025-07-23,Infosys Q1 Results Highlights: Results beat expectations with guidance revision on expected lines - CNBC TV18,-0.1
2025-07-24,"Infosys share price trades marginally down after posting Q1 results 2025. Should you buy, sell or hold? - Mint",-0.15555555555555556
2025-08-01,Infosys shares fall 1.12% in today's session; over 14 lakh shares traded - Moneycontrol,0.0
2025-07-23,Infosys’s strong showing not enough to power Indian IT in slow first quarter | Company Business News - Mint,0.09583333333333333
2025-07-30,"IT Workforce Trends: Infosys Rules Out Mass Layoffs as TCS Plans to Cut 12,000 Jobs - Deccan Herald",0.0
2025-07-24,Infosys vs TCS vs HCL Tech vs Wipro: Which IT stock to buy today post-Q1 results 2025? EXPLAINED - Mint,0.0
2025-07-25,"TCS vs Infosys vs Wipro vs HCL Tech: Hiring plans, salary hikes, guidance— is the worst over for IT stocks? - Mint",-1.0
2025-07-30,No layoffs at Infosys: India's second-largest IT company plans to hire more amid buzz over TCS job cuts - The Economic Times,0.35
2025-07-28,Why Indian IT firms are cutting jobs even as revenue continues to grow - Business Standard,-0.3
2025-07-23,"Infosys Q1 results at 3.45 pm today; 5 things to watch, earnings preview - Business Today",0.0
2025-07-22,Infosys Starting Salary For Freshers In 2025: How Much Does The IT Giant Pay In India? - News18,0.06666666666666667
2025-07-23,Infosys Q1 Results: Lower-End FY26 Revenue Guidance Raised After New Deal Wins; Profit Meets Estimates - NDTV Profit,0.21818181818181817
2025-07-23,Infosys Q1 Results: Near Term Outlook Looks Good Amid Uncertain Business Environment; Profit Meets Estimates - NDTV Profit,0.39999999999999997
2025-07-21,Infosys expands tech ties with Australia's Telstra - The Economic Times,0.2
2025-07-28,"TCS, Infosys, Wipro and HCL Tech headcount reduces by over 42,000 in two years - Storyboard18",0.0
2025-07-23,"Infosys profit surges 8.7% on deals, Europe show - The Economic Times",0.2
2025-07-24,"Highlights: Infosys raises FY26 revenue guidance to 1-3% led by $3.8 billion deal wins; MD says, ‘Q1 demonstrates enterprise AI capabilities, competitive positioning’ - financialexpress.com",0.3
2025-07-23,Infosys Reports $4.94 Bn in Q1 FY26 Revenue as AI Agents Fuel Growth - Analytics India Magazine,0.0
2025-07-28,"TCS layoffs: IT companies face stock slump as shares fall up to 3%; Infosys, Wipro, HCL under fire - Times of India",0.0
2025-07-23,"Infosys salary hike: IT major says second phase already rolled out, ‘next one we'll have to…’ - Mint",0.020833333333333332
2025-07-25,"How TCS, Infosys, HCLTech, Wipro and Tech Mahindra fared in Q1FY26 - Moneycontrol",0.0
2025-07-24,"Infosys revenue rises 3.8% in Q1, raises FY26 forecast - Times of India",0.0
2025-07-24,"Infosys Stock Target Hiked: If Narayana Murthy-Led Tech's Q1 Is Solid, Then Why Are Infy Shares Falling? - Goodreturns",0.0
2025-07-23,"Stocks to Watch:Stocks to Watch: Infosys, Bajaj Housing Finance, BEML, Persistent Systems and more - CNBC TV18",0.5
2025-07-22,Infosys Q1 preview: IT giant bets on new acquisitions amid uncertain macros | Company Business News - Mint,0.06818181818181818
2025-07-28,How many analysts rate Infosys Limited Depositary Receipt as a “Buy” - Phenomenal capital appreciation - jammulinksnews.com,0.30952380952380953
2025-07-27,What makes Infosys Limited Depositary Receipt stock price move sharply - Build a winning investment strategy today - jammulinksnews.com,0.1011904761904762
2025-07-23,"Infosys, Dr Reddys, Coforge Q1 Results Today — Earnings Estimates - NDTV Profit",0.0
2025-07-23,"Infosys hiring continues to lag in Q1, attrition stable at 14.4% - The Economic Times",0.2
